[2Kspring_backend_app  | 
[2Kspring_backend_app  |   .   ____          _            __ _ _
[2Kspring_backend_app  |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
[2Kspring_backend_app  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
[2Kspring_backend_app  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
[2Kspring_backend_app  |   '  |____| .__|_| |_|_| |_\__, | / / / /
[2Kspring_backend_app  |  =========|_|==============|___/=/_/_/_/
[2Kspring_backend_app  |  :: Spring Boot ::                (v3.2.0)
[2Kspring_backend_app  | 
[2Kspring_backend_app  | 2025-05-28T01:31:31.972Z DEBUG 1 --- [kground-preinit] org.jboss.logging                        : Logging Provider: org.jboss.logging.Slf4jLoggerProvider found via system property
[2Kspring_backend_app  | 2025-05-28T01:31:31.986Z DEBUG 1 --- [kground-preinit] o.h.v.i.xml.config.ValidationXmlParser   : Trying to load META-INF/validation.xml for XML based Validator configuration.
[2Kspring_backend_app  | 2025-05-28T01:31:31.988Z DEBUG 1 --- [kground-preinit] o.h.v.i.xml.config.ResourceLoaderHelper  : Trying to load META-INF/validation.xml via TCCL
[2Kspring_backend_app  | 2025-05-28T01:31:31.988Z DEBUG 1 --- [kground-preinit] o.h.v.i.xml.config.ResourceLoaderHelper  : Trying to load META-INF/validation.xml via Hibernate Validator's class loader
[2Kspring_backend_app  | 2025-05-28T01:31:31.989Z DEBUG 1 --- [kground-preinit] o.h.v.i.xml.config.ValidationXmlParser   : No META-INF/validation.xml found. Using annotation based configuration only.
[2Kspring_backend_app  | 2025-05-28T01:31:31.994Z DEBUG 1 --- [kground-preinit] o.h.v.i.e.resolver.TraversableResolvers  : Found jakarta.persistence.Persistence on classpath containing 'getPersistenceUtil'. Assuming JPA 2 environment. Trying to instantiate JPA aware TraversableResolver
[2Kspring_backend_app  | 2025-05-28T01:31:31.994Z DEBUG 1 --- [kground-preinit] o.h.v.i.e.resolver.TraversableResolvers  : Instantiated JPA aware TraversableResolver of type org.hibernate.validator.internal.engine.resolver.JPATraversableResolver.
[2Kspring_backend_app  | 2025-05-28T01:31:32.008Z  INFO 1 --- [           main] com.elearning.ElearningApplication       : Starting ElearningApplication v1.0.0 using Java 17.0.15 with PID 1 (/app/app.jar started by spring in /app)
[2Kspring_backend_app  | 2025-05-28T01:31:32.008Z DEBUG 1 --- [           main] com.elearning.ElearningApplication       : Running with Spring Boot v3.2.0, Spring v6.1.1
